infection_location_type,infection_location_id,infections
facility,2,36
facility,13,29
facility,14,25
facility,10,14
facility,4,10
facility,20,9
facility,16,9
facility,12,6
facility,36,6
household,163,6
household,155,6
facility,30,6
household,435,5
household,1080,4
household,841,4
household,1150,4
household,40,3
household,45,3
facility,25,3
household,1168,2
facility,31,2
facility,11,2
facility,3,2
household,49,2
household,458,2
facility,21,2
facility,28,2
facility,35,2
household,93,2
household,92,1
facility,17,1
household,999,1
facility,18,1
facility,32,1
household,91,1
household,89,1
household,88,1
household,87,1
household,86,1
household,85,1
household,84,1
household,83,1
facility,29,1
household,90,1
